Federal Provider Number,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Most Recent Health Inspection More Than 2 Years Ago,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,Latitude,Adjusted Total Nurse Staffing Hours per Resident per Day,Longitude
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",GEORGIANA,AL,36033,Butler,For profit - Individual,91,81,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,15.333,0,0,1,$3640.00,0,1,"206 PALMER AVENUE
GEORGIANA, AL 36033
(31.640387, -86.735971)",09/01/2016,31.640387,4.55277,-86.735971
015180,GADSDEN HEALTH AND REHAB CENTER,GADSDEN,AL,35904,Etowah,For profit - Partnership,168,164,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,4.0,23.333,0,5,0,$0.00,0,0,"1945 DAVIS DRIVE
GADSDEN, AL 35904
(33.98949, -86.028647)",09/01/2016,33.98949,4.03778,-86.028647
015189,GOLDEN LIVING CENTER - PELL CITY,PELL CITY,AL,35125,St. Clair,For profit - Corporation,94,78,Medicare and Medicaid,False,False,Yes,1.0,1.0,3.0,4.0,72.667,0,4,1,$44400.00,0,1,"510 WOLF CREEK ROAD
PELL CITY, AL 35125
(33.505224, -86.436679)",09/01/2016,33.505224,3.46329,-86.436679
015194,PIEDMONT HEALTH CARE CENTER,PIEDMONT,AL,36272,Calhoun,For profit - Corporation,91,81,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,2.0,10.667,0,0,0,$0.00,0,0,"30 ROUNDTREE DRIVE
PIEDMONT, AL 36272
(33.90859, -85.606975)",09/01/2016,33.90859,4.65311,-85.606975
015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",OPELIKA,AL,36801,Lee,For profit - Corporation,225,161,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,36.667,0,0,0,$0.00,0,0,"1910 PEPPERELL PKWY
OPELIKA, AL 36801
(32.638357, -85.401017)",09/01/2016,32.638357,5.65444,-85.401017
015193,CROWNE HEALTH CARE OF GREENVILLE,GREENVILLE,AL,36037,Butler,For profit - Corporation,118,104,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,2.0,18.0,0,0,0,$0.00,0,0,"408 COUNTRY CLUB DRIVE
GREENVILLE, AL 36037
(31.842372, -86.636727)",09/01/2016,31.842372,4.22069,-86.636727
015191,BROWN NURSING HOME,ALEXANDER CITY,AL,35010,Tallapoosa,For profit - Corporation,68,67,Medicare and Medicaid,False,False,Yes,3.0,2.0,3.0,2.0,44.667,0,4,0,$0.00,0,0,"2334 WASHINGTON STREET
ALEXANDER CITY, AL 35010
(32.952339, -85.97908)",09/01/2016,32.952339,3.72106,-85.97908
015216,OAKVIEW MANOR HEALTH CARE CENTER,OZARK,AL,36360,Dale,Non profit - Corporation,138,133,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,3.0,38.0,0,1,0,$0.00,0,0,"929 MIXON SCHOOL ROAD
OZARK, AL 36360
(31.428264, -85.646107)",09/01/2016,31.428264,4.5592,-85.646107
015215,BIBB MED CENTER NURSING HOME,CENTREVILLE,AL,35042,Bibb,Government - County,131,116,Medicare and Medicaid,True,False,Yes,1.0,1.0,3.0,2.0,63.333,0,0,0,$0.00,0,0,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.951101, -87.147865)",09/01/2016,32.951101,4.04882,-87.147865
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,MONROEVILLE,AL,36460,Monroe,For profit - Corporation,84,79,Medicare and Medicaid,False,False,Yes,2.0,2.0,4.0,4.0,36.667,0,1,0,$0.00,0,0,"236 WEST CLAIBORNE STREET
MONROEVILLE, AL 36460
(31.526451, -87.329086)",09/01/2016,31.526451,4.65283,-87.329086
015415,SPRINGHILL MANOR NURSING HOME,MOBILE,AL,36608,Mobile,For profit - Corporation,34,34,Medicare and Medicaid,False,False,Yes,2.0,2.0,4.0,3.0,33.167,0,0,1,$52343.00,0,1,"3900 OLD SHELL ROAD
MOBILE, AL 36608
(30.698571, -88.134046)",09/01/2016,30.698571,4.67839,-88.134046
015416,ANDALUSIA MANOR,ANDALUSIA,AL,36420,Covington,For profit - Corporation,154,128,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,12.0,0,0,0,$0.00,0,0,"670 MOORE RD
ANDALUSIA, AL 36420
(31.282419, -86.497782)",09/01/2016,31.282419,5.28265,-86.497782
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,MONTGOMERY,AL,36110,Montgomery,For profit - Corporation,54,52,Medicaid,False,False,Yes,4.0,4.0,1.0,1.0,20.667,0,0,0,$0.00,0,0,"2853 FORBES DRIVE
MONTGOMERY, AL 36110
(32.424467, -86.28657)",09/01/2016,32.424467,3.34995,-86.28657
065328,LONGMONT UNITED HOSPITAL T C U,LONGMONT,CO,80501,Boulder,Non profit - Corporation,15,6,Medicare,True,False,Yes,5.0,5.0,,,14.667,0,0,0,$0.00,0,0,"1950 MOUNTAIN VIEW AVENUE
LONGMONT, CO 80501
(40.181323, -105.125207)",09/01/2016,40.181323,,-105.125207
065325,MOUNT ST FRANCIS NURSING CENTER,COLORADO SPRINGS,CO,80919,El Paso,Non profit - Church related,108,105,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,10.667,0,0,0,$0.00,0,0,"7550 ASSISI HEIGHTS
COLORADO SPRINGS, CO 80919
(38.947813, -104.873)",09/01/2016,38.947813,4.83102,-104.873
065330,COLORADO LUTHERAN HOME,ARVADA,CO,80004,Jefferson,Non profit - Corporation,120,111,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,12.667,0,2,0,$0.00,0,0,"7991 WEST 71ST AVENUE
ARVADA, CO 80004
(39.825759, -105.083326)",09/01/2016,39.825759,4.43536,-105.083326
065327,JUNIPER VILLAGE - THE SPEARLY CENTER,DENVER,CO,80211,Denver,For profit - Partnership,135,127,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,102.667,0,19,1,$2560.00,0,1,"2205 WEST 29TH AVENUE
DENVER, CO 80211
(39.758418, -105.013511)",09/01/2016,39.758418,3.79026,-105.013511
065374,BROOKDALE GREEN MOUNTAIN,LAKEWOOD,CO,80228,Jefferson,For profit - Corporation,45,29,Medicare,False,False,Yes,4.0,4.0,4.0,5.0,38.0,0,0,0,$0.00,0,0,"12791 W ALAMEDA PARKWAY
LAKEWOOD, CO 80228
(39.701579, -105.140859)",09/01/2016,39.701579,3.89541,-105.140859
065373,BROOKDALE BEAR CREEK,COLORADO SPRINGS,CO,80904,El Paso,For profit - Corporation,45,37,Medicare,False,False,Yes,3.0,3.0,3.0,5.0,48.667,0,4,0,$0.00,0,0,"1685 SOUTH 21ST STREET
COLORADO SPRINGS, CO 80904
(38.825385, -104.859264)",09/01/2016,38.825385,3.65095,-104.859264
065370,LIFE CARE CENTER OF LITTLETON,LITTLETON,CO,80120,Arapahoe,For profit - Corporation,120,108,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,5.0,51.333,0,8,0,$0.00,0,0,"1500 WEST MINERAL AVENUE
LITTLETON, CO 80120
(39.573463, -105.00509)",09/01/2016,39.573463,4.15547,-105.00509
065386,COLORADO STATE VETERANS NURSING HOME-RIFLE,RIFLE,CO,81650,Garfield,Government - State,89,65,Medicare and Medicaid,False,False,Yes,3.0,2.0,5.0,5.0,80.667,1,4,0,$0.00,0,0,"851 EAST 5TH STREET
RIFLE, CO 81650
(39.533366, -107.772103)",09/01/2016,39.533366,4.98247,-107.772103
106040,"LIFECARE ST. JOHNS, INC",SAINT AUGUSTINE,FL,32092,St. Johns,Non profit - Corporation,30,21,Medicare,False,False,Yes,5.0,4.0,4.0,4.0,18.0,0,0,0,$0.00,0,0,"230 TOWERVIEW DRIVE
SAINT AUGUSTINE, FL 32092
(29.986831, -81.480016)",09/01/2016,29.986831,5.53067,-81.480016
106036,CITRUS HILLS HEALTH & REHABILITATION CENTER,HERNANDO,FL,34442,Citrus,For profit - Limited Liability company,120,114,Medicare and Medicaid,False,False,Yes,1.0,2.0,3.0,3.0,46.667,0,7,0,$0.00,0,0,"124 W NORVELL BRYANT HWY
HERNANDO, FL 34442
(28.899954, -82.437549)",09/01/2016,28.899954,3.84367,-82.437549
106035,INN AT SARASOTA BAY CLUB,SARASOTA,FL,34236,Sarasota,For profit - Corporation,60,45,Medicare and Medicaid,False,False,Yes,4.0,2.0,5.0,5.0,32.667,0,0,0,$0.00,0,0,"1303 NORTH TAMIAMI TRAIL
SARASOTA, FL 34236
(27.349721, -82.547001)",09/01/2016,27.349721,5.9544,-82.547001
106038,ALEXANDER NININGER STATE VETERANS NURSING HOME,PEMBROKE PINES,FL,33025,Broward,Government - State,120,115,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,4.0,21.333,0,0,0,$0.00,0,0,"8401 W CYPRESS DR
PEMBROKE PINES, FL 33025
(26.003119, -80.253985)",09/01/2016,26.003119,5.92281,-80.253985
115540,TWIN VIEW HEALTH AND REHAB,TWIN CITY,GA,30471,Emanuel,For profit - Corporation,110,108,Medicare and Medicaid,False,False,Yes,1.0,1.0,1.0,1.0,63.333,0,5,1,$6240.00,0,1,"211 MATHIS AVENUE
TWIN CITY, GA 30471
(32.580777, -82.163125)",09/01/2016,32.580777,2.53016,-82.163125
115551,CUMMING NURSING CENTER,CUMMING,GA,30041,Forsyth,For profit - Corporation,87,85,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,4.0,11.333,0,0,0,$0.00,0,0,"2775 CASTLEBERRY ROAD
CUMMING, GA 30041
(34.197449, -84.150929)",09/01/2016,34.197449,4.37181,-84.150929
115547,WESTVIEW NURSING & REHABILITATION CENTER,PORT WENTWORTH,GA,31407,Chatham,For profit - Individual,101,75,Medicare and Medicaid,False,False,Yes,2.0,3.0,1.0,1.0,16.667,0,0,0,$0.00,0,0,"1000 DORSET ROAD
PORT WENTWORTH, GA 31407
(32.150365, -81.166071)",09/01/2016,32.150365,3.11501,-81.166071
225344,ABBOTT HOUSE NURSING HOME,LYNN,MA,1902,Essex,Non profit - Corporation,55,47,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,3.0,0.0,0,0,0,$0.00,0,0,"28 ESSEX STREET
LYNN, MA 01902
(42.475265, -70.927578)",09/01/2016,42.475265,3.53288,-70.927578
175264,MEDICALODGES COLUMBUS,COLUMBUS,KS,66725,Cherokee,For profit - Corporation,45,41,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,12.0,0,0,0,$0.00,0,0,"101 LEE AVE
COLUMBUS, KS 66725
(37.170991, -94.857827)",09/01/2016,37.170991,4.95349,-94.857827
165177,COMMUNITY MEMORIAL HEALTH CENTER,HARTLEY,IA,51346,Obrien,Non profit - Corporation,68,66,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,23.333,1,0,0,$0.00,0,0,"231 NORTH EIGHTH AVENUE WEST
HARTLEY, IA 51346
(43.184178, -95.48685)",09/01/2016,43.184178,4.96281,-95.48685
165192,GOOD SAMARITAN SOCIETY - ESTHERVILLE,ESTHERVILLE,IA,51334,Emmet,Non profit - Corporation,90,81,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,5.0,50.667,11,6,1,$4095.00,0,1,"1646 FIFTH AVENUE NORTH
ESTHERVILLE, IA 51334
(43.406489, -94.821729)",09/01/2016,43.406489,4.11288,-94.821729
165191,GOOD SAMARITAN SOCIETY - RED OAK,RED OAK,IA,51566,Montgomery,Non profit - Corporation,88,63,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,111.667,8,10,2,$45143.00,0,2,"201 ALIX AVENUE
RED OAK, IA 51566
(41.023496, -95.230886)",09/01/2016,41.023496,3.73959,-95.230886
165193,DUNLAP SPECIALTY CARE,DUNLAP,IA,51529,Harrison,Non profit - Corporation,57,39,Medicare and Medicaid,False,False,Yes,3.0,4.0,1.0,2.0,19.333,1,0,0,$0.00,0,0,"1403 HARRISON ROAD
DUNLAP, IA 51529
(41.848882, -95.590412)",09/01/2016,41.848882,3.10411,-95.590412
165207,GOOD SAMARITAN SOCIETY - HOLSTEIN,HOLSTEIN,IA,51025,Ida,Non profit - Corporation,60,52,Medicare and Medicaid,False,False,Yes,2.0,3.0,3.0,3.0,30.0,3,0,0,$0.00,0,0,"505 WEST SECOND STREET
HOLSTEIN, IA 51025
(42.489282, -95.550962)",09/01/2016,42.489282,3.71369,-95.550962
165213,GOOD SAMARITAN SOCIETY - FOREST CITY,FOREST CITY,IA,50436,Winnebago,Non profit - Corporation,56,45,Medicare and Medicaid,False,False,Yes,4.0,3.0,2.0,1.0,21.333,0,1,0,$0.00,0,0,"606 SOUTH SEVENTH STREET
FOREST CITY, IA 50436
(43.258084, -93.641288)",09/01/2016,43.258084,4.04569,-93.641288
165215,LYON SPECIALTY CARE,ROCK RAPIDS,IA,51246,Lyon,Non profit - Corporation,49,34,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,3.0,12.667,0,0,0,$0.00,0,0,"1010 SOUTH UNION
ROCK RAPIDS, IA 51246
(43.420552, -96.175726)",09/01/2016,43.420552,3.29616,-96.175726
165214,LANTERN PARK SPECIALTY CARE,CORALVILLE,IA,52241,Johnson,Non profit - Corporation,90,88,Medicare and Medicaid,False,False,Yes,5.0,5.0,2.0,3.0,5.333,0,0,0,$0.00,0,0,"2200 OAKDALE ROAD
CORALVILLE, IA 52241
(41.704426, -91.594659)",09/01/2016,41.704426,2.77738,-91.594659
165227,THE MADISON,FORT MADISON,IA,52627,Lee,For profit - Individual,90,67,Medicare and Medicaid,False,False,Yes,1.0,1.0,,,84.167,1,4,1,$36628.00,0,1,"1702 41ST STREET
FORT MADISON, IA 52627
(40.622459, -91.365939)",09/01/2016,40.622459,,-91.365939
165241,GRUNDY CARE CENTER,GRUNDY CENTER,IA,50638,Grundy,For profit - Corporation,40,34,Medicare and Medicaid,False,False,Yes,2.0,1.0,2.0,4.0,62.0,1,5,1,$7040.00,0,1,"102 EAST J AVENUE
GRUNDY CENTER, IA 50638
(42.358746, -92.762633)",09/01/2016,42.358746,3.07482,-92.762633
165247,GOOD SAMARITAN SOCIETY - GEORGE,GEORGE,IA,51237,Lyon,For profit - Corporation,45,36,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,5.0,20.0,0,5,0,$0.00,0,0,"324 FIRST AVENUE NORTH
GEORGE, IA 51237
(43.348535, -95.99432)",09/01/2016,43.348535,3.73336,-95.99432
165243,CHAUTAUQUA GUEST HOME #3,CHARLES CITY,IA,50616,Floyd,For profit - Corporation,65,44,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,45.167,1,3,2,$10173.00,0,2,"302 NINTH STREET
CHARLES CITY, IA 50616
(43.055693, -92.675748)",09/01/2016,43.055693,4.03581,-92.675748
165240,GOOD SAMARITAN SOCIETY - WAUKON,WAUKON,IA,52172,Allamakee,Non profit - Corporation,84,66,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,5.0,14.0,1,0,0,$0.00,0,0,"21 EAST MAIN STREET
WAUKON, IA 52172
(43.269254, -91.473973)",09/01/2016,43.269254,4.15047,-91.473973
165260,DONNELLSON HEALTH CENTER,DONNELLSON,IA,52625,Lee,For profit - Corporation,65,47,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,87.833,1,0,1,$26520.00,1,2,"901 STATE STREET
DONNELLSON, IA 52625
(40.646271, -91.569827)",09/01/2016,40.646271,5.26727,-91.569827
165262,TRU REHAB OF GRINNELL,GRINNELL,IA,50112,Poweshiek,For profit - Corporation,60,27,Medicare and Medicaid,False,False,Yes,1.0,1.0,1.0,2.0,102.5,3,6,1,$121030.00,1,2,"415 W SIXTH AVENUE
GRINNELL, IA 50112
(41.746163, -92.741738)",09/01/2016,41.746163,2.00754,-92.741738
165259,THORNTON MANOR,LANSING,IA,52151,Allamakee,For profit - Corporation,60,38,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,24.0,0,0,0,$0.00,0,0,"1329 MAIN STREET
LANSING, IA 52151
(43.361218, -91.233435)",09/01/2016,43.361218,4.80864,-91.233435
165261,MILL-POND,ANKENY,IA,50021,Polk,Non profit - Corporation,60,54,Medicare and Medicaid,False,False,Yes,4.0,2.0,4.0,5.0,46.667,2,0,0,$0.00,0,0,"1201 SE MILL POND COURT
ANKENY, IA 50021
(41.724561, -93.579434)",09/01/2016,41.724561,4.03163,-93.579434
245215,LAKESHORE INC,DULUTH,MN,55804,St. Louis,Non profit - Church related,60,53,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,24.0,0,0,0,$0.00,0,0,"4002 LONDON ROAD
DULUTH, MN 55804
(46.822262, -92.041324)",09/01/2016,46.822262,4.71173,-92.041324
165502,HILLCREST HOME,SUMNER,IA,50674,Bremer,Non profit - Corporation,71,51,Medicare and Medicaid,False,False,Yes,5.0,4.0,3.0,2.0,10.0,0,0,0,$0.00,0,0,"915 WEST FIRST STREET
SUMNER, IA 50674
(42.847432, -92.110037)",09/01/2016,42.847432,4.74445,-92.110037
16E118,GENESIS MEDICAL CENTER-DEWITT,DE WITT,IA,52742,Clinton,Non profit - Other,77,73,Medicaid,True,False,Yes,5.0,5.0,4.0,4.0,4.0,0,0,0,$0.00,0,0,"1118 11TH STREET
DE WITT, IA 52742
(41.825795, -90.547286)",09/01/2016,41.825795,3.88834,-90.547286
16F002,DAVE'S PLACE,KEOKUK,IA,52632,Lee,For profit - Individual,57,41,Medicaid,False,False,Yes,2.0,2.0,5.0,5.0,43.333,5,2,0,$0.00,0,0,"3140 PLANK ROAD
KEOKUK, IA 52632
(40.4214, -91.407155)",09/01/2016,40.4214,5.82886,-91.407155
175070,MEDICALODGES PITTSBURG,PITTSBURG,KS,66762,Crawford,For profit - Corporation,45,36,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,46.667,0,0,0,$0.00,0,0,"2520 S ROUSE ST
PITTSBURG, KS 66762
(37.381078, -94.686699)",09/01/2016,37.381078,4.92051,-94.686699
16F001,DAVIS CENTER,BLOOMFIELD,IA,52537,Davis,For profit - Corporation,32,26,Medicaid,False,False,Yes,3.0,3.0,5.0,5.0,19.333,0,0,0,$0.00,0,0,"22425 OVERLAND AVENUE
BLOOMFIELD, IA 52537
(40.716716, -92.356443)",09/01/2016,40.716716,6.04379,-92.356443
335802,GLEN ARDEN INC,GOSHEN,NY,10924,Orange,Non profit - Corporation,40,35,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,4.0,1.333,0,0,0,$0.00,0,0,"46 HARRIMAN DRIVE
GOSHEN, NY 10924
(41.389489, -74.319866)",09/01/2016,41.389489,3.58178,-74.319866
175141,MEDICALODGES ATCHISON,ATCHISON,KS,66002,Atchison,For profit - Partnership,45,40,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,2.0,114.333,0,1,1,$5558.00,0,1,"1637 RILEY ST
ATCHISON, KS 66002
(39.569282, -95.141544)",09/01/2016,39.569282,4.26118,-95.141544
175151,LAWRENCE MEMORIAL HOSPITAL SNF,LAWRENCE,KS,66044,Douglas,Non profit - Other,14,13,Medicare,True,False,Yes,3.0,4.0,2.0,4.0,48.0,0,0,0,$0.00,0,0,"325 MAINE ST
LAWRENCE, KS 66044
(38.97815, -95.247649)",09/01/2016,38.97815,2.24176,-95.247649
175145,BROOKSIDE RETIREMENT COMMUNITY,OVERBROOK,KS,66524,Osage,For profit - Corporation,72,70,Medicare and Medicaid,False,False,Yes,2.0,2.0,2.0,1.0,91.333,5,0,2,$20750.00,2,4,"700 W 7TH STREET
OVERBROOK, KS 66524
(38.780739, -95.564653)",09/01/2016,38.780739,3.75605,-95.564653
175146,HUTCHINSON REGIONAL MEDICAL CENTER INC (SNU),HUTCHINSON,KS,67502,Reno,Non profit - Corporation,15,3,Medicare,True,False,Yes,5.0,5.0,,,27.333,0,0,0,$0.00,1,1,"1701 E 23RD AVE
HUTCHINSON, KS 67502
(38.079485, -97.892275)",09/01/2016,38.079485,,-97.892275
175174,MEADOWLARK HILLS,MANHATTAN,KS,66502,Riley,Non profit - Corporation,180,116,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,35.333,5,0,1,$14500.00,1,2,"2121 MEADOWLARK RD
MANHATTAN, KS 66502
(39.207876, -96.577913)",09/01/2016,39.207876,5.46708,-96.577913
