index,Provider Name,Provider State,Federal Provider Number,Provider SSA County Code,Provider County Name,Overall Rating,Location,Latitude,Longitude
253,"BATON ROUGE GEN MED CTR, SNF",LA,195139,160,E. Baton Rouge,5.0,"3600 FLORIDA BLVD
BATON ROUGE, LA 70806
(30.450336, -91.154638)",30.450336,-91.154638
270,HERITAGE MANOR OF OPELOUSAS,LA,195321,480,St. Landry,5.0,"7941 I 49 SOUTH SERVICE ROAD
OPELOUSAS, LA 70570
(30.554818, -92.053134)",30.554818,-92.053134
290,ST JAMES PLACE NURSING CARE CENTER,LA,195410,160,E. Baton Rouge,5.0,"333 LEE DRIVE
BATON ROUGE, LA 70808
(30.398268, -91.155728)",30.398268,-91.155728
314,ORCHARD PARK REHAB & LIVING,ME,205168,30,Franklin,5.0,"107 ORCHARD ST
FARMINGTON, ME 04938
(44.674159, -70.146157)",44.674159,-70.146157
317,ODD FELLOWS & REBEKAHS' HOME OF MAINE,ME,205170,0,Androscoggin,5.0,"85 CARON LANE
AUBURN, ME 04210
(44.082865, -70.237897)",44.082865,-70.237897
318,SUNRISE CARE FACILITY,ME,205172,140,Washington,5.0,"11 OCEAN ST
JONESPORT, ME 04649
(44.530803, -67.60305)",44.530803,-67.60305
319,WINTHROP MANOR LONG TERM CARE & REHAB CTR,ME,205169,50,Kennebec,5.0,"96 ROUTE
WINTHROP, ME 04364
(44.328874, -69.978675)",44.328874,-69.978675
325,ROCKVILLE NURSING HOME,MD,215107,150,Montgomery,5.0,"303 ADCLARE ROAD
ROCKVILLE, MD 20850
(39.082137, -77.170597)",39.082137,-77.170597
327,DEER'S HEAD CENTER,MD,215132,220,Wicomico,5.0,"2018 SALISBURY
MD 21802
(38.972914, -76.975239)",38.972914,-76.975239
338,MANORCARE HEALTH SERVICES - POTOMAC,MD,215171,150,Montgomery,5.0,"10714 POTOMAC TENNIS LANE
POTOMAC, MD 20854
(39.031895, -77.201411)",39.031895,-77.201411
342,COLLINGTON EPISCOPAL LIFE CARE,MD,215180,160,Prince Georges,5.0,"10450 LOTTSFORD ROAD
MITCHELLVILLE, MD 20721
(38.917193, -76.829079)",38.917193,-76.829079
344,CALVERT MANOR HEALTH CARE CENT,MD,215189,70,Cecil,5.0,"1881 TELEGRAPH ROAD
RISING SUN, MD 21911
(39.70298, -75.981551)",39.70298,-75.981551
345,"LOCHEARN NURSING HOME, LLC",MD,215207,30,Baltimore City,5.0,"4800 SETON DRIVE
BALTIMORE, MD 21215
(39.343384, -76.707678)",39.343384,-76.707678
347,HILLHAVEN NURSING CENTER,MD,215212,160,Prince Georges,5.0,"3210 POWDER MILL ROAD
ADELPHI, MD 20783
(39.03285, -76.951063)",39.03285,-76.951063
351,CHARLESTOWN COMMUNITY INC,MD,215223,20,Baltimore,5.0,"709 MAIDEN CHOICE LANE
CATONSVILLE, MD 21228
(39.267675, -76.70436)",39.267675,-76.70436
355,CARRIAGE HILL BETHESDA,MD,215234,150,Montgomery,5.0,"5215 CEDAR LANE
BETHESDA, MD 20814
(39.005356, -77.104229)",39.005356,-77.104229
358,SPA CREEK CENTER,MD,215258,10,Anne Arundel,5.0,"35 MILKSHAKE LANE
ANNAPOLIS, MD 21403
(38.961513, -76.50346)",38.961513,-76.50346
364,ASBURY SOLOMONS ISLAND,MD,215304,40,Calvert,5.0,"11750 ASBURY CIRCLE
SOLOMONS, MD 20688
(38.346103, -76.466535)",38.346103,-76.466535
365,"MARIA HEALTH CARE CENTER, INC.",MD,215300,20,Baltimore,5.0,"6401 N CHARLES STREET
BALTIMORE, MD 21212
(39.383453, -76.626934)",39.383453,-76.626934
366,CALVERT MEMORIAL HOSPITAL TRANSITIONAL CARE UNIT,MD,215289,40,Calvert,5.0,"100 HOSPITAL ROAD
PRINCE FREDERICK, MD 20678
(38.5586, -76.59779)",38.5586,-76.59779
374,MARYLAND MASONIC HOMES,MD,215361,20,Baltimore,5.0,"300 INTERNATIONAL CIRCLE
COCKEYSVILLE, MD 21030
(39.499119, -76.665501)",39.499119,-76.665501
376,PINE KNOLL NURSING CENTER,MA,225049,90,Middlesex,5.0,"30 WATERTOWN STREET
LEXINGTON, MA 02420
(42.419235, -71.207545)",42.419235,-71.207545
387,CARE ONE AT LEXINGTON,MA,225288,90,Middlesex,5.0,"178 LOWELL STREET
LEXINGTON, MA 02420
(42.439518, -71.191928)",42.439518,-71.191928
391,NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,MA,225378,90,Middlesex,5.0,"640 CONCORD AVENUE
CAMBRIDGE, MA 02138
(42.389565, -71.147813)",42.389565,-71.147813
401,MARIE ESTHER HEALTH CENTER INC,MA,225619,90,Middlesex,5.0,"720 BOSTON POST ROAD
MARLBOROUGH, MA 01752
(42.350722, -71.502401)",42.350722,-71.502401
405,NEMASKET HEALTHCARE CENTER,MA,225622,150,Plymouth,5.0,"314 MARION ROAD
MIDDLEBOROUGH, MA 02346
(41.829114, -70.884308)",41.829114,-70.884308
409,CAMPION HEALTH CENTER INC,MA,225656,90,Middlesex,5.0,"319 CONCORD ROAD
WESTON, MA 02493
(42.381666, -71.321294)",42.381666,-71.321294
412,LIFE CARE CENTER OF RAYNHAM,MA,225655,20,Bristol,5.0,"546 SOUTH STREET EAST
RAYNHAM, MA 02767
(41.90027, -71.037331)",41.90027,-71.037331
414,CONTINUING CARE AT BROOKSBY VILLAGE,MA,225767,40,Essex,5.0,"400 BROOKSBY VILLAGE DRIVE
PEABODY, MA 01960
(42.551726, -70.972498)",42.551726,-70.972498
415,KIMBALL FARMS NURSING CARE CENTER,MA,225764,10,Berkshire,5.0,"40 SUNSET AVENUE
LENOX, MA 01240
(42.359079, -73.28851)",42.359079,-73.28851
419,SEVEN HILLS PEDIATRIC CENTER,MA,225781,90,Middlesex,5.0,"22 HILLSIDE AVENUE
GROTON, MA 01450
(42.612544, -71.579132)",42.612544,-71.579132
431,RESTHAVEN CARE CENTER,MI,235378,20,Allegan,5.0,"280 W 40TH ST
HOLLAND, MI 49423
(42.761511, -86.121631)",42.761511,-86.121631
433,BELLE FOUNTAIN NURSING & REHABILITATION CENTER,MI,235376,810,Wayne,5.0,"18591 QUARRY RD
RIVERVIEW, MI 48192
(42.173305, -83.179073)",42.173305,-83.179073
437,THE VILLA AT ROSE CITY,MI,235380,640,Ogemaw,5.0,"517 W PAGE ST
ROSE CITY, MI 48654
(44.420551, -84.12244)",44.420551,-84.12244
449,MAPLE VALLEY NURSING HOME,MI,235588,440,Leelanau,5.0,"1086 W BURDICKVILLE ROAD
MAPLE CITY, MI 49664
(44.853955, -85.878466)",44.853955,-85.878466
457,HOLLY CONVALESCENT CENTER,MI,23E252,620,Oakland,5.0,"313 SHERWOOD ST
HOLLY, MI 48442
(42.795017, -83.63414)",42.795017,-83.63414
460,APPLETON MUNICIPAL HOSPITAL,MN,245231,750,Swift,5.0,"30 SOUTH BEHL STREET
APPLETON, MN 56208
(45.19987, -96.00922)",45.19987,-96.00922
471,MALA STRANA CARE & REHABILITATION CENTER,MN,245514,690,Scott,5.0,"1001 COLUMBUS AVENUE NORTH
NEW PRAGUE, MN 56071
(44.553537, -93.573916)",44.553537,-93.573916
480,RIVERVIEW NURSING & REHABILITATION CENTER,MS,255216,410,Leflore,5.0,"1600 WEST CLAIBORNE AVENUE
GREENWOOD, MS 38930
(33.523455, -90.213197)",33.523455,-90.213197
512,HENDRICK SKILLED NURSING FACILITY,TX,455683,911,Taylor,5.0,"1900 PINE
ABILENE, TX 79601
(32.471553, -99.73118)",32.471553,-99.73118
513,THE GLEBE,VA,495404,110,Botetourt,5.0,"250 GLEBE ROAD
DALEVILLE, VA 24083
(37.420505, -79.915186)",37.420505,-79.915186
514,THE LODGE AT HERITAGE ESTATES,NE,285071,780,Scott Bluff,5.0,"2325 LODGE DRIVE
GERING, NE 69341
(41.819923, -103.677495)",41.819923,-103.677495
517,DAVID PLACE,NE,285074,110,Butler,5.0,"260 SOUTH 10TH STREET
DAVID CITY, NE 68632
(41.248178, -97.121639)",41.248178,-97.121639
546,MILFORD MANOR,NJ,315276,320,Passaic,5.0,"69 MAPLE ROAD
WEST MILFORD, NJ 07480
(41.065056, -74.388563)",41.065056,-74.388563
626,MARIA REGINA RESIDENCE INC,NY,335837,700,Suffolk,5.0,"1725 BRENTWOOD ROAD
BRENTWOOD, NY 11717
(40.772129, -73.246185)",40.772129,-73.246185
629,JEANNE JUGAN RESIDENCE,NY,335849,20,Bronx,5.0,"2999 SCHURZ AVENUE
BRONX, NY 10465
(40.814921, -73.812683)",40.814921,-73.812683
630,WILKINSON RESIDENTIAL HEALTH CARE FACILITY,NY,335857,380,Montgomery,5.0,"4988 STATE HWY
AMSTERDAM, NY 12010
(42.95836, -74.185735)",42.95836,-74.185735
631,WOODLAND POND AT NEW PALTZ,NY,335858,740,Ulster,5.0,"100 WOODLAND POND CIRCLE
NEW PALTZ, NY 12561
(41.758016, -74.061422)",41.758016,-74.061422
677,MAIN STREET TERRACE CARE CENTER,OH,366016,230,Fairfield,5.0,"1318 E MAIN STREET
LANCASTER, OH 43130
(39.713923, -82.576021)",39.713923,-82.576021
679,ALTERCARE OF HARTVILLE CTR FOR,OH,366027,770,Stark,5.0,"1420 SMITH KRAMER ROAD
HARTVILLE, OH 44632
(40.941432, -81.352147)",40.941432,-81.352147
681,ORCHARD VILLA,OH,366068,490,Lucas,5.0,"2841 MUNDING DRIVE
OREGON, OH 43616
(41.629547, -83.478715)",41.629547,-83.478715
701,GRACE LIVING CENTER-MANGUM,OK,375207,270,Greer,5.0,"320 CAREY STREET
MANGUM, OK 73554
(34.886506, -99.49975)",34.886506,-99.49975
736,QUARRYVILLE PRESBYTERIAN RETIREMENT COMMUNITY,PA,395336,440,Lancaster,5.0,"625 ROBERT FULTON HIGHWAY
QUARRYVILLE, PA 17566
(39.887052, -76.162209)",39.887052,-76.162209
761,FELLOWSHIP MANOR,PA,395763,470,Lehigh,5.0,"3000 FELLOWSHIP DRIVE
WHITEHALL, PA 18052
(40.641175, -75.509196)",40.641175,-75.509196
778,PENNSWOOD VILLAGE,PA,395473,140,Bucks,5.0,"413 NEWTOWN
PA 18940
(40.257787, -74.962443)",40.257787,-74.962443
806,HERMANN HOSPITAL,TX,455981,610,Harris,5.0,"6411 FANNIN
HOUSTON, TX 77030
(29.713684, -95.397627)",29.713684,-95.397627
907,SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI,AL,015024,410,Limestone,5.0,"1600 WEST HOBBS STREET
ATHENS, AL 35611
(34.805283, -86.992785)",34.805283,-86.992785
912,"SUMTER HEALTH AND REHABILITATION, L L C",AL,015042,590,Sumter,5.0,"1505 EAST 4TH AVENUE
YORK, AL 36925
(32.496973, -88.28415)",32.496973,-88.28415
922,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,015066,290,Franklin,5.0,"390 UNDERWOOD ROAD
RUSSELLVILLE, AL 35653
(34.51299, -87.719572)",34.51299,-87.719572
925,ALTOONA  HEALTH & REHAB,AL,015101,270,Etowah,5.0,"6532 WALNUT GROVE ROAD
ALTOONA, AL 35952
(34.034825, -86.319056)",34.034825,-86.319056
927,"PARK PLACE NURSING AND REHABILITATION CENTER, LLC",AL,015084,230,Dallas,5.0,"100 PARK PLACE
SELMA, AL 36701
(32.426542, -87.053454)",32.426542,-87.053454
928,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,015073,210,Cullman,5.0,"420 MAIN STREET NE
HANCEVILLE, AL 35077
(34.063971, -86.772498)",34.063971,-86.772498
934,COTTAGE OF THE SHOALS,AL,015067,160,Colbert,5.0,"500 JOHN ALDRIDGE DRIVE
TUSCUMBIA, AL 35674
(34.727975, -87.679021)",34.727975,-87.679021
940,ALLEN MEMORIAL HOME,AL,015098,480,Mobile,5.0,"735 SOUTH WASHINGTON AVENUE
MOBILE, AL 36603
(30.672649, -88.052096)",30.672649,-88.052096
941,EVERGREEN NURSING HOME,AL,015089,170,Conecuh,5.0,"100 SANDERS DRIVE
EVERGREEN, AL 36401
(31.422084, -86.94537)",31.422084,-86.94537
948,ARBOR WOODS HEALTH AND REHAB,AL,015141,530,Pickens,5.0,"515 2ND AVENUE NORTHWEST
REFORM, AL 35481
(33.381773, -88.019974)",33.381773,-88.019974
949,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,015139,250,Elmore,5.0,"2639 GILMER AVENUE
TALLASSEE, AL 36078
(32.569049, -85.937908)",32.569049,-85.937908
952,SYLACAUGA HEALTH AND REHAB SERVICES,AL,015160,600,Talladega,5.0,"1007 W FORT WILLIAMS ST
SYLACAUGA, AL 35150
(33.16724, -86.267535)",33.16724,-86.267535
958,ENGLEWOOD HEALTH CARE CENTER,AL,015322,490,Monroe,5.0,"2046 SOUTH ALABAMA AVE
MONROEVILLE, AL 36460
(31.498816, -87.319244)",31.498816,-87.319244
959,DECATUR HEALTH & REHAB CENTER,AL,015206,510,Morgan,5.0,"2326 MORGAN AVENUE SOUTHWEST
DECATUR, AL 35603
(34.568871, -87.008052)",34.568871,-87.008052
960,LAFAYETTE EXTENDED CARE,AL,015197,80,Chambers,5.0,"805 HOSPITAL STREET SOUTHWEST
LAFAYETTE, AL 36862
(32.884205, -85.412368)",32.884205,-85.412368
964,"OZARK HEALTH AND REHABILITATION, LLC",AL,015208,220,Dale,5.0,"312 BRYAN DRIVE
OZARK, AL 36360
(31.472283, -85.633872)",31.472283,-85.633872
973,"RIDGEWOOD HEALTH SERVICES, INC.",AL,015315,630,Walker,5.0,"201 OAKHILL ROAD
JASPER, AL 35504
(33.852492, -87.282104)",33.852492,-87.282104
976,"OPP HEALTH AND REHABILITATION, LLC",AL,015210,190,Covington,5.0,"115 PAULK AVENUE
OPP, AL 36467
(31.293368, -86.255097)",31.293368,-86.255097
978,NORTHSIDE HEALTH CARE,AL,015223,270,Etowah,5.0,"700 HUTCHINS AVENUE
GADSDEN, AL 35901
(34.042751, -85.954822)",34.042751,-85.954822
979,MCGUFFEY HEALTH & REHABILITATION CENTER,AL,015202,270,Etowah,5.0,"2301 RAINBOW DRIVE
GADSDEN, AL 35999
(33.970873, -86.020025)",33.970873,-86.020025
980,THOMASVILLE HEALTHCARE AND REHABILITATION CENTER,AL,015220,120,Clarke,5.0,"1425 MOSLEY DRIVE
THOMASVILLE, AL 36784
(31.931317, -87.736364)",31.931317,-87.736364
989,CLAY COUNTY NURSING HOME,AL,015124,130,Clay,5.0,"83825 HIGHWAY
ASHLAND, AL 36251
(33.276548, -85.823789)",33.276548,-85.823789
994,ATMORE NURSING CENTER,AL,015129,260,Escambia,5.0,"715 EAST LAUREL STREET
ATMORE, AL 36502
(31.016121, -87.478481)",31.016121,-87.478481
999,EXTENDICARE HEALTH CENTER,AL,015152,340,Houston,5.0,"950 SOUTH ST ANDREWS STREET
DOTHAN, AL 36302
(31.211305, -85.390391)",31.211305,-85.390391
1013,WOODHAVEN MANOR NURSING HOME,AL,015177,450,Marengo,5.0,"105 WEST WINDSOR ST
DEMOPOLIS, AL 36732
(32.500826, -87.835559)",32.500826,-87.835559
1029,WILDFLOWER COURT,AK,025027,110,Juneau,5.0,"2000 SALMON CREEK LANE
JUNEAU, AK 99801
(58.32931, -134.464075)",58.32931,-134.464075
1033,LEGACY HEALTH AND REHABILITATION CENTER,AR,045267,650,Sebastian,5.0,"3310 NORTH 50TH STREET
FORT SMITH, AR 72904
(35.411354, -94.375853)",35.411354,-94.375853
1035,CLOVERDALE REHABILITATION AND NURSING CENTER,AL,015184,350,Jackson,5.0,"412 CLOVERDALE ROAD
SCOTTSBORO, AL 35768
(34.662102, -86.04946)",34.662102,-86.04946
1036,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,015186,620,Tuscaloosa,5.0,"2201 32ND STREET
NORTHPORT, AL 35476
(33.238737, -87.579049)",33.238737,-87.579049
1041,WINE COUNTRY CARE CENTER,CA,055289,490,San Joaquin,5.0,"321 WEST TURNER ROAD
LODI, CA 95240
(38.145686, -121.277519)",38.145686,-121.277519
1042,"MITCHELL'S NURSING HOME, INC",AR,045454,740,Yell,5.0,"501 W 10TH
DANVILLE, AR 72833
(35.052314, -93.397613)",35.052314,-93.397613
1044,SIERRA VIEW HOMES,CA,056279,90,Fresno,5.0,"1155 E SPRINGFIELD AVENUE
REEDLEY, CA 93654
(36.596897, -119.436832)",36.596897,-119.436832
1047,NORTHBROOK HEALTHCARE CENTER,CA,056215,330,Mendocino,5.0,"64 NORTHBROOK WAY
WILLITS, CA 95490
(39.415111, -123.361154)",39.415111,-123.361154
1056,LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,CA,056116,530,Santa Clara,5.0,"809 FREMONT AVENUE
LOS ALTOS, CA 94024
(37.356156, -122.091718)",37.356156,-122.091718
1062,SEQUOIAS SAN FRANCISCO CONVALESCENT HOSPITAL,CA,056071,480,San Francisco,5.0,"1400 GEARY BLVD
SAN FRANCISCO, CA 94109
(37.785156, -122.427062)",37.785156,-122.427062
1066,ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,AR,045270,290,Hot Spring,5.0,"105 RUSSELLVILLE ROAD
MALVERN, AR 72104
(34.347244, -92.82368)",34.347244,-92.82368
1068,BRENTWOOD HEALTH CARE CENTER,CA,055711,200,Los Angeles,5.0,"1321 FRANKLIN STREET
SANTA MONICA, CA 90404
(34.038585, -118.469473)",34.038585,-118.469473
1069,FRANCISCAN CONVALESCENT HOSPITAL,CA,055979,340,Merced,5.0,"3169 M STREET
MERCED, CA 95348
(37.320566, -120.478541)",37.320566,-120.478541
1070,GROSSMONT POST ACUTE CARE,CA,055632,470,San Diego,5.0,"8787 CENTER DRIVE
LA MESA, CA 91942
(32.78166, -117.009032)",32.78166,-117.009032
1076,ROCK CREEK CARE CENTER,CA,055446,410,Placer,5.0,"260 RACETRACK STREET
AUBURN, CA 95603
(38.890296, -121.078549)",38.890296,-121.078549
1077,"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",AR,045183,220,Faulkner,5.0,"2401 CHRISTINA LANE
CONWAY, AR 72034
(35.068405, -92.461642)",35.068405,-92.461642
1078,WOODBRIAR NURSING HOME,AR,045384,550,Poinsett,5.0,"204 CATHERINE ST
HARRISBURG, AR 72432
(35.571465, -90.722825)",35.571465,-90.722825
1081,FRIENDSHIP MANOR NURSING & REHAB CENTER,CA,055964,470,San Diego,5.0,"902 SOUTH EUCLID AVENUE
NATIONAL CITY, CA 91950
(32.68183, -117.081938)",32.68183,-117.081938
1085,GRACE HEALTHCARE OF MORAGA,CA,055085,60,Contra Costa,5.0,"348 RHEEM BOULEVARD
MORAGA, CA 94556
(37.861477, -122.128718)",37.861477,-122.128718
1086,ACACIA HEALTH CENTER,AZ,035279,60,Maricopa,5.0,"4555 EAST MAYO BLVD
PHOENIX, AZ 85050
(33.668112, -111.98172)",33.668112,-111.98172
1092,HACIENDA NURSING FACILITY,AZ,035258,60,Maricopa,5.0,"1402 EAST SOUTH MOUNTAIN AVENUE
PHOENIX, AZ 85040
(33.370536, -112.05226)",33.370536,-112.05226
1093,CHRISTIAN CARE NURSING CENTER,AZ,035173,60,Maricopa,5.0,"11812 NORTH 19TH AVE
PHOENIX, AZ 85029
(33.593708, -112.099637)",33.593708,-112.099637
1095,MANILA NURSING CENTER,AR,045297,460,Mississippi,5.0,"814 NORTH DAVIS STREET
MANILA, AR 72442
(35.887575, -90.159346)",35.887575,-90.159346
1099,"TWO PALMS NURSING CENTER, INC",CA,055464,200,Los Angeles,5.0,"2637 E WASHINTON BLVD
PASADENA, CA 91107
(34.169168, -118.095999)",34.169168,-118.095999
1100,HILLCREST HOME,AR,045441,40,Boone,5.0,"1111 MAPLEWOOD RD
HARRISON, AR 72601
(36.242546, -93.104043)",36.242546,-93.104043
1101,COVENTRY COURT HEALTH CENTER,CA,055983,400,Orange,5.0,"2040 S EUCLID AVENUE
ANAHEIM, CA 92802
(33.797482, -117.941273)",33.797482,-117.941273
1105,OAKLAND HEALTHCARE & WELLNESS CENTER,CA,055215,0,Alameda,5.0,"3030 WEBSTER STREET
OAKLAND, CA 94609
(37.8194, -122.263267)",37.8194,-122.263267
1107,THE REHABILITATION CENTER AT THE PALAZZO,AZ,035116,60,Maricopa,5.0,"6246 NORTH 19TH AVENUE
PHOENIX, AZ 85015
(33.529208, -112.099659)",33.529208,-112.099659
1108,HAVEN OF TUCSON LLC,AZ,035165,90,Pima,5.0,"3705 NORTH SWAN ROAD
TUCSON, AZ 85718
(32.274012, -110.892621)",32.274012,-110.892621
1113,ROSEWOOD POST ACUTE REHABILITATION,CA,056101,440,Sacramento,5.0,"6041 FAIR OAKS BLVD
CARMICHAEL, CA 95608
(38.611398, -121.328784)",38.611398,-121.328784
1115,MARSHALL MANOR NURSING HOME,AL,015378,470,Marshall,5.0,"3120 NORTH STREET
GUNTERSVILLE, AL 35976
(34.316279, -86.312714)",34.316279,-86.312714
1117,"BELLE MEADE, A REHABILITATION AND GUEST CARE FACIL",AR,045170,270,Greene,5.0,"1800 LINWOOD DRIVE
PARAGOULD, AR 72450
(36.038121, -90.512781)",36.038121,-90.512781
