Federal Provider Number,Provider Name,Provider City,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Automatic Sprinkler Systems in All Required Areas,Location,Processing Date,Latitude,Longitude,Adjusted Total Nurse Staffing Hours per Resident per Day,performance_id
015162,"TALLADEGA HEALTHCARE CENTER, INC",TALLADEGA,35160,Talladega,For profit - Corporation,234,218,Medicare and Medicaid,False,Yes,"616 CHAFFEE STREET
TALLADEGA, AL 35160
(33.429158, -86.088035)",09/01/2016,33.429158,-86.088035,7.63312,10
015159,GOLDEN LIVING CENTER - ONEONTA,ONEONTA,35121,Blount,For profit - Corporation,120,112,Medicare and Medicaid,False,Yes,"215 VALLEY ROAD
ONEONTA, AL 35121
(33.951915, -86.466295)",09/01/2016,33.951915,-86.466295,2.95974,11
015164,WILLOW TRACE HEALTH AND REHABILITATION CENTER,BUTLER,36904,Choctaw,For profit - Corporation,120,91,Medicare and Medicaid,False,Yes,"1406 EAST PUSHMATAHA STREET
BUTLER, AL 36904
(32.095297, -88.185669)",09/01/2016,32.095297,-88.185669,3.05521,12
015163,ALBERTVILLE NURSING HOME,ALBERTVILLE,35950,Marshall,For profit - Corporation,159,150,Medicare and Medicaid,False,Yes,"750 ALABAMA HIGHWAY
ALBERTVILLE, AL 35950
(34.259949, -86.214567)",09/01/2016,34.259949,-86.214567,5.60321,13
015167,MARION REGIONAL NURSING HOME,HAMILTON,35570,Marion,Non profit - Corporation,79,69,Medicare and Medicaid,True,Yes,"184 SASSER DRIVE
HAMILTON, AL 35570
(34.125111, -87.991194)",09/01/2016,34.125111,-87.991194,4.13761,14
015166,DADEVILLE HEALTHCARE CENTER,DADEVILLE,36853,Tallapoosa,For profit - Corporation,144,95,Medicare and Medicaid,False,Yes,"351 NORTH EAST STREET
DADEVILLE, AL 36853
(32.833963, -85.759194)",09/01/2016,32.833963,-85.759194,4.39365,15
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,MOBILE,36604,Mobile,Non profit - Corporation,75,74,Medicare and Medicaid,False,Yes,"1655 MCGILL AVENUE
MOBILE, AL 36604
(30.684156, -88.078467)",09/01/2016,30.684156,-88.078467,5.21201,16
015183,NORTH MOBILE NURSING AND REHABILITATION CTR,EIGHT MILE,36613,Mobile,For profit - Corporation,172,155,Medicare and Medicaid,False,Yes,"4525 ST STEPHENS ROAD
EIGHT MILE, AL 36613
(30.764771, -88.128473)",09/01/2016,30.764771,-88.128473,3.22424,17
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",GEORGIANA,36033,Butler,For profit - Individual,91,81,Medicare and Medicaid,False,Yes,"206 PALMER AVENUE
GEORGIANA, AL 36033
(31.640387, -86.735971)",09/01/2016,31.640387,-86.735971,4.55277,18
015180,GADSDEN HEALTH AND REHAB CENTER,GADSDEN,35904,Etowah,For profit - Partnership,168,164,Medicare and Medicaid,False,Yes,"1945 DAVIS DRIVE
GADSDEN, AL 35904
(33.98949, -86.028647)",09/01/2016,33.98949,-86.028647,4.03778,19
015189,GOLDEN LIVING CENTER - PELL CITY,PELL CITY,35125,St. Clair,For profit - Corporation,94,78,Medicare and Medicaid,False,Yes,"510 WOLF CREEK ROAD
PELL CITY, AL 35125
(33.505224, -86.436679)",09/01/2016,33.505224,-86.436679,3.46329,20
015194,PIEDMONT HEALTH CARE CENTER,PIEDMONT,36272,Calhoun,For profit - Corporation,91,81,Medicare and Medicaid,False,Yes,"30 ROUNDTREE DRIVE
PIEDMONT, AL 36272
(33.90859, -85.606975)",09/01/2016,33.90859,-85.606975,4.65311,21
015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",OPELIKA,36801,Lee,For profit - Corporation,225,161,Medicare and Medicaid,False,Yes,"1910 PEPPERELL PKWY
OPELIKA, AL 36801
(32.638357, -85.401017)",09/01/2016,32.638357,-85.401017,5.65444,22
015193,CROWNE HEALTH CARE OF GREENVILLE,GREENVILLE,36037,Butler,For profit - Corporation,118,104,Medicare and Medicaid,False,Yes,"408 COUNTRY CLUB DRIVE
GREENVILLE, AL 36037
(31.842372, -86.636727)",09/01/2016,31.842372,-86.636727,4.22069,23
015191,BROWN NURSING HOME,ALEXANDER CITY,35010,Tallapoosa,For profit - Corporation,68,67,Medicare and Medicaid,False,Yes,"2334 WASHINGTON STREET
ALEXANDER CITY, AL 35010
(32.952339, -85.97908)",09/01/2016,32.952339,-85.97908,3.72106,24
015216,OAKVIEW MANOR HEALTH CARE CENTER,OZARK,36360,Dale,Non profit - Corporation,138,133,Medicare and Medicaid,False,Yes,"929 MIXON SCHOOL ROAD
OZARK, AL 36360
(31.428264, -85.646107)",09/01/2016,31.428264,-85.646107,4.5592,25
015215,BIBB MED CENTER NURSING HOME,CENTREVILLE,35042,Bibb,Government - County,131,116,Medicare and Medicaid,True,Yes,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.951101, -87.147865)",09/01/2016,32.951101,-87.147865,4.04882,26
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,MONROEVILLE,36460,Monroe,For profit - Corporation,84,79,Medicare and Medicaid,False,Yes,"236 WEST CLAIBORNE STREET
MONROEVILLE, AL 36460
(31.526451, -87.329086)",09/01/2016,31.526451,-87.329086,4.65283,27
015415,SPRINGHILL MANOR NURSING HOME,MOBILE,36608,Mobile,For profit - Corporation,34,34,Medicare and Medicaid,False,Yes,"3900 OLD SHELL ROAD
MOBILE, AL 36608
(30.698571, -88.134046)",09/01/2016,30.698571,-88.134046,4.67839,28
015416,ANDALUSIA MANOR,ANDALUSIA,36420,Covington,For profit - Corporation,154,128,Medicare and Medicaid,False,Yes,"670 MOORE RD
ANDALUSIA, AL 36420
(31.282419, -86.497782)",09/01/2016,31.282419,-86.497782,5.28265,29
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,MONTGOMERY,36110,Montgomery,For profit - Corporation,54,52,Medicaid,False,Yes,"2853 FORBES DRIVE
MONTGOMERY, AL 36110
(32.424467, -86.28657)",09/01/2016,32.424467,-86.28657,3.34995,30
065328,LONGMONT UNITED HOSPITAL T C U,LONGMONT,80501,Boulder,Non profit - Corporation,15,6,Medicare,True,Yes,"1950 MOUNTAIN VIEW AVENUE
LONGMONT, CO 80501
(40.181323, -105.125207)",09/01/2016,40.181323,-105.125207,,31
065325,MOUNT ST FRANCIS NURSING CENTER,COLORADO SPRINGS,80919,El Paso,Non profit - Church related,108,105,Medicare and Medicaid,False,Yes,"7550 ASSISI HEIGHTS
COLORADO SPRINGS, CO 80919
(38.947813, -104.873)",09/01/2016,38.947813,-104.873,4.83102,32
065330,COLORADO LUTHERAN HOME,ARVADA,80004,Jefferson,Non profit - Corporation,120,111,Medicare and Medicaid,False,Yes,"7991 WEST 71ST AVENUE
ARVADA, CO 80004
(39.825759, -105.083326)",09/01/2016,39.825759,-105.083326,4.43536,33
065327,JUNIPER VILLAGE - THE SPEARLY CENTER,DENVER,80211,Denver,For profit - Partnership,135,127,Medicare and Medicaid,False,Yes,"2205 WEST 29TH AVENUE
DENVER, CO 80211
(39.758418, -105.013511)",09/01/2016,39.758418,-105.013511,3.79026,34
065374,BROOKDALE GREEN MOUNTAIN,LAKEWOOD,80228,Jefferson,For profit - Corporation,45,29,Medicare,False,Yes,"12791 W ALAMEDA PARKWAY
LAKEWOOD, CO 80228
(39.701579, -105.140859)",09/01/2016,39.701579,-105.140859,3.89541,35
065373,BROOKDALE BEAR CREEK,COLORADO SPRINGS,80904,El Paso,For profit - Corporation,45,37,Medicare,False,Yes,"1685 SOUTH 21ST STREET
COLORADO SPRINGS, CO 80904
(38.825385, -104.859264)",09/01/2016,38.825385,-104.859264,3.65095,36
065370,LIFE CARE CENTER OF LITTLETON,LITTLETON,80120,Arapahoe,For profit - Corporation,120,108,Medicare and Medicaid,False,Yes,"1500 WEST MINERAL AVENUE
LITTLETON, CO 80120
(39.573463, -105.00509)",09/01/2016,39.573463,-105.00509,4.15547,37
065386,COLORADO STATE VETERANS NURSING HOME-RIFLE,RIFLE,81650,Garfield,Government - State,89,65,Medicare and Medicaid,False,Yes,"851 EAST 5TH STREET
RIFLE, CO 81650
(39.533366, -107.772103)",09/01/2016,39.533366,-107.772103,4.98247,38
106040,"LIFECARE ST. JOHNS, INC",SAINT AUGUSTINE,32092,St. Johns,Non profit - Corporation,30,21,Medicare,False,Yes,"230 TOWERVIEW DRIVE
SAINT AUGUSTINE, FL 32092
(29.986831, -81.480016)",09/01/2016,29.986831,-81.480016,5.53067,39
106036,CITRUS HILLS HEALTH & REHABILITATION CENTER,HERNANDO,34442,Citrus,For profit - Limited Liability company,120,114,Medicare and Medicaid,False,Yes,"124 W NORVELL BRYANT HWY
HERNANDO, FL 34442
(28.899954, -82.437549)",09/01/2016,28.899954,-82.437549,3.84367,40
106035,INN AT SARASOTA BAY CLUB,SARASOTA,34236,Sarasota,For profit - Corporation,60,45,Medicare and Medicaid,False,Yes,"1303 NORTH TAMIAMI TRAIL
SARASOTA, FL 34236
(27.349721, -82.547001)",09/01/2016,27.349721,-82.547001,5.9544,41
106038,ALEXANDER NININGER STATE VETERANS NURSING HOME,PEMBROKE PINES,33025,Broward,Government - State,120,115,Medicare and Medicaid,False,Yes,"8401 W CYPRESS DR
PEMBROKE PINES, FL 33025
(26.003119, -80.253985)",09/01/2016,26.003119,-80.253985,5.92281,42
115540,TWIN VIEW HEALTH AND REHAB,TWIN CITY,30471,Emanuel,For profit - Corporation,110,108,Medicare and Medicaid,False,Yes,"211 MATHIS AVENUE
TWIN CITY, GA 30471
(32.580777, -82.163125)",09/01/2016,32.580777,-82.163125,2.53016,43
115551,CUMMING NURSING CENTER,CUMMING,30041,Forsyth,For profit - Corporation,87,85,Medicare and Medicaid,False,Yes,"2775 CASTLEBERRY ROAD
CUMMING, GA 30041
(34.197449, -84.150929)",09/01/2016,34.197449,-84.150929,4.37181,44
115547,WESTVIEW NURSING & REHABILITATION CENTER,PORT WENTWORTH,31407,Chatham,For profit - Individual,101,75,Medicare and Medicaid,False,Yes,"1000 DORSET ROAD
PORT WENTWORTH, GA 31407
(32.150365, -81.166071)",09/01/2016,32.150365,-81.166071,3.11501,45
225344,ABBOTT HOUSE NURSING HOME,LYNN,1902,Essex,Non profit - Corporation,55,47,Medicare and Medicaid,False,Yes,"28 ESSEX STREET
LYNN, MA 01902
(42.475265, -70.927578)",09/01/2016,42.475265,-70.927578,3.53288,46
175264,MEDICALODGES COLUMBUS,COLUMBUS,66725,Cherokee,For profit - Corporation,45,41,Medicare and Medicaid,False,Yes,"101 LEE AVE
COLUMBUS, KS 66725
(37.170991, -94.857827)",09/01/2016,37.170991,-94.857827,4.95349,47
165177,COMMUNITY MEMORIAL HEALTH CENTER,HARTLEY,51346,Obrien,Non profit - Corporation,68,66,Medicare and Medicaid,False,Yes,"231 NORTH EIGHTH AVENUE WEST
HARTLEY, IA 51346
(43.184178, -95.48685)",09/01/2016,43.184178,-95.48685,4.96281,48
165192,GOOD SAMARITAN SOCIETY - ESTHERVILLE,ESTHERVILLE,51334,Emmet,Non profit - Corporation,90,81,Medicare and Medicaid,False,Yes,"1646 FIFTH AVENUE NORTH
ESTHERVILLE, IA 51334
(43.406489, -94.821729)",09/01/2016,43.406489,-94.821729,4.11288,49
165191,GOOD SAMARITAN SOCIETY - RED OAK,RED OAK,51566,Montgomery,Non profit - Corporation,88,63,Medicare and Medicaid,False,Yes,"201 ALIX AVENUE
RED OAK, IA 51566
(41.023496, -95.230886)",09/01/2016,41.023496,-95.230886,3.73959,50
165193,DUNLAP SPECIALTY CARE,DUNLAP,51529,Harrison,Non profit - Corporation,57,39,Medicare and Medicaid,False,Yes,"1403 HARRISON ROAD
DUNLAP, IA 51529
(41.848882, -95.590412)",09/01/2016,41.848882,-95.590412,3.10411,51
165207,GOOD SAMARITAN SOCIETY - HOLSTEIN,HOLSTEIN,51025,Ida,Non profit - Corporation,60,52,Medicare and Medicaid,False,Yes,"505 WEST SECOND STREET
HOLSTEIN, IA 51025
(42.489282, -95.550962)",09/01/2016,42.489282,-95.550962,3.71369,52
165213,GOOD SAMARITAN SOCIETY - FOREST CITY,FOREST CITY,50436,Winnebago,Non profit - Corporation,56,45,Medicare and Medicaid,False,Yes,"606 SOUTH SEVENTH STREET
FOREST CITY, IA 50436
(43.258084, -93.641288)",09/01/2016,43.258084,-93.641288,4.04569,53
165215,LYON SPECIALTY CARE,ROCK RAPIDS,51246,Lyon,Non profit - Corporation,49,34,Medicare and Medicaid,False,Yes,"1010 SOUTH UNION
ROCK RAPIDS, IA 51246
(43.420552, -96.175726)",09/01/2016,43.420552,-96.175726,3.29616,54
165214,LANTERN PARK SPECIALTY CARE,CORALVILLE,52241,Johnson,Non profit - Corporation,90,88,Medicare and Medicaid,False,Yes,"2200 OAKDALE ROAD
CORALVILLE, IA 52241
(41.704426, -91.594659)",09/01/2016,41.704426,-91.594659,2.77738,55
165227,THE MADISON,FORT MADISON,52627,Lee,For profit - Individual,90,67,Medicare and Medicaid,False,Yes,"1702 41ST STREET
FORT MADISON, IA 52627
(40.622459, -91.365939)",09/01/2016,40.622459,-91.365939,,56
165241,GRUNDY CARE CENTER,GRUNDY CENTER,50638,Grundy,For profit - Corporation,40,34,Medicare and Medicaid,False,Yes,"102 EAST J AVENUE
GRUNDY CENTER, IA 50638
(42.358746, -92.762633)",09/01/2016,42.358746,-92.762633,3.07482,57
165247,GOOD SAMARITAN SOCIETY - GEORGE,GEORGE,51237,Lyon,For profit - Corporation,45,36,Medicare and Medicaid,False,Yes,"324 FIRST AVENUE NORTH
GEORGE, IA 51237
(43.348535, -95.99432)",09/01/2016,43.348535,-95.99432,3.73336,58
165243,CHAUTAUQUA GUEST HOME #3,CHARLES CITY,50616,Floyd,For profit - Corporation,65,44,Medicare and Medicaid,False,Yes,"302 NINTH STREET
CHARLES CITY, IA 50616
(43.055693, -92.675748)",09/01/2016,43.055693,-92.675748,4.03581,59
165240,GOOD SAMARITAN SOCIETY - WAUKON,WAUKON,52172,Allamakee,Non profit - Corporation,84,66,Medicare and Medicaid,False,Yes,"21 EAST MAIN STREET
WAUKON, IA 52172
(43.269254, -91.473973)",09/01/2016,43.269254,-91.473973,4.15047,60
165260,DONNELLSON HEALTH CENTER,DONNELLSON,52625,Lee,For profit - Corporation,65,47,Medicare and Medicaid,False,Yes,"901 STATE STREET
DONNELLSON, IA 52625
(40.646271, -91.569827)",09/01/2016,40.646271,-91.569827,5.26727,61
165262,TRU REHAB OF GRINNELL,GRINNELL,50112,Poweshiek,For profit - Corporation,60,27,Medicare and Medicaid,False,Yes,"415 W SIXTH AVENUE
GRINNELL, IA 50112
(41.746163, -92.741738)",09/01/2016,41.746163,-92.741738,2.00754,62
165259,THORNTON MANOR,LANSING,52151,Allamakee,For profit - Corporation,60,38,Medicare and Medicaid,False,Yes,"1329 MAIN STREET
LANSING, IA 52151
(43.361218, -91.233435)",09/01/2016,43.361218,-91.233435,4.80864,63
165261,MILL-POND,ANKENY,50021,Polk,Non profit - Corporation,60,54,Medicare and Medicaid,False,Yes,"1201 SE MILL POND COURT
ANKENY, IA 50021
(41.724561, -93.579434)",09/01/2016,41.724561,-93.579434,4.03163,64
245215,LAKESHORE INC,DULUTH,55804,St. Louis,Non profit - Church related,60,53,Medicare and Medicaid,False,Yes,"4002 LONDON ROAD
DULUTH, MN 55804
(46.822262, -92.041324)",09/01/2016,46.822262,-92.041324,4.71173,63
165502,HILLCREST HOME,SUMNER,50674,Bremer,Non profit - Corporation,71,51,Medicare and Medicaid,False,Yes,"915 WEST FIRST STREET
SUMNER, IA 50674
(42.847432, -92.110037)",09/01/2016,42.847432,-92.110037,4.74445,65
16E118,GENESIS MEDICAL CENTER-DEWITT,DE WITT,52742,Clinton,Non profit - Other,77,73,Medicaid,True,Yes,"1118 11TH STREET
DE WITT, IA 52742
(41.825795, -90.547286)",09/01/2016,41.825795,-90.547286,3.88834,66
16F002,DAVE'S PLACE,KEOKUK,52632,Lee,For profit - Individual,57,41,Medicaid,False,Yes,"3140 PLANK ROAD
KEOKUK, IA 52632
(40.4214, -91.407155)",09/01/2016,40.4214,-91.407155,5.82886,67
175070,MEDICALODGES PITTSBURG,PITTSBURG,66762,Crawford,For profit - Corporation,45,36,Medicare and Medicaid,False,Yes,"2520 S ROUSE ST
PITTSBURG, KS 66762
(37.381078, -94.686699)",09/01/2016,37.381078,-94.686699,4.92051,68
16F001,DAVIS CENTER,BLOOMFIELD,52537,Davis,For profit - Corporation,32,26,Medicaid,False,Yes,"22425 OVERLAND AVENUE
BLOOMFIELD, IA 52537
(40.716716, -92.356443)",09/01/2016,40.716716,-92.356443,6.04379,69
335802,GLEN ARDEN INC,GOSHEN,10924,Orange,Non profit - Corporation,40,35,Medicare and Medicaid,False,Yes,"46 HARRIMAN DRIVE
GOSHEN, NY 10924
(41.389489, -74.319866)",09/01/2016,41.389489,-74.319866,3.58178,70
175141,MEDICALODGES ATCHISON,ATCHISON,66002,Atchison,For profit - Partnership,45,40,Medicare and Medicaid,False,Yes,"1637 RILEY ST
ATCHISON, KS 66002
(39.569282, -95.141544)",09/01/2016,39.569282,-95.141544,4.26118,71
175151,LAWRENCE MEMORIAL HOSPITAL SNF,LAWRENCE,66044,Douglas,Non profit - Other,14,13,Medicare,True,Yes,"325 MAINE ST
LAWRENCE, KS 66044
(38.97815, -95.247649)",09/01/2016,38.97815,-95.247649,2.24176,72
175145,BROOKSIDE RETIREMENT COMMUNITY,OVERBROOK,66524,Osage,For profit - Corporation,72,70,Medicare and Medicaid,False,Yes,"700 W 7TH STREET
OVERBROOK, KS 66524
(38.780739, -95.564653)",09/01/2016,38.780739,-95.564653,3.75605,73
175146,HUTCHINSON REGIONAL MEDICAL CENTER INC (SNU),HUTCHINSON,67502,Reno,Non profit - Corporation,15,3,Medicare,True,Yes,"1701 E 23RD AVE
HUTCHINSON, KS 67502
(38.079485, -97.892275)",09/01/2016,38.079485,-97.892275,,74
175174,MEADOWLARK HILLS,MANHATTAN,66502,Riley,Non profit - Corporation,180,116,Medicare and Medicaid,False,Yes,"2121 MEADOWLARK RD
MANHATTAN, KS 66502
(39.207876, -96.577913)",09/01/2016,39.207876,-96.577913,5.46708,75
175172,MANORCARE HEALTH SERVICES - TOPEKA,TOPEKA,66614,Shawnee,For profit - Corporation,120,78,Medicare and Medicaid,False,Yes,"2515 SW WANAMAKER ROAD
TOPEKA, KS 66614
(39.020246, -95.762322)",09/01/2016,39.020246,-95.762322,3.3957,76
175231,GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE,ELLSWORTH,67439,Ellsworth,Non profit - Corporation,74,58,Medicare and Medicaid,False,Yes,"1156 HIGHWAY
ELLSWORTH, KS 67439
(38.700051, -98.215795)",09/01/2016,38.700051,-98.215795,3.0769,77
175232,PLEASANT VALLEY MANOR,SEDAN,67361,Chautauqua,For profit - Corporation,71,59,Medicare and Medicaid,False,Yes,"623 E ELM
SEDAN, KS 67361
(37.12905, -96.180369)",09/01/2016,37.12905,-96.180369,3.61025,78
175228,GOLDEN LIVINGCENTER - LANSING,LANSING,66043,Leavenworth,For profit - Corporation,58,46,Medicare and Medicaid,False,Yes,"210 PLAZA DRIVE
LANSING, KS 66043
(39.258364, -94.901245)",09/01/2016,39.258364,-94.901245,3.23678,79
175229,GOLDEN LIVINGCENTER - PARKWAY,EDWARDSVILLE,66111,Wyandotte,For profit - Corporation,50,41,Medicare and Medicaid,False,Yes,"749 BLAKE STREET
EDWARDSVILLE, KS 66111
(39.056902, -94.818341)",09/01/2016,39.056902,-94.818341,3.14938,80
175233,GALENA NURSING & REHAB CENTER,GALENA,66739,Cherokee,For profit - Corporation,58,54,Medicare and Medicaid,False,Yes,"1220 E 8TH STREET
GALENA, KS 66739
(37.073715, -94.626535)",09/01/2016,37.073715,-94.626535,3.01013,81
175286,WHEATLAND NURSING & REHABILITATION CENTER,RUSSELL,67665,Russell,For profit - Corporation,59,41,Medicare and Medicaid,False,Yes,"320 S LINCOLN ST
RUSSELL, KS 67665
(38.881881, -98.862311)",09/01/2016,38.881881,-98.862311,3.2945,82
175291,GREAT BEND HEALTH & REHAB CENTER,GREAT BEND,67530,Barton,For profit - Corporation,110,66,Medicare and Medicaid,False,Yes,"1560 K 96 HWY
GREAT BEND, KS 67530
(38.367407, -98.803667)",09/01/2016,38.367407,-98.803667,3.82453,83
175287,EUREKA NURSING CENTER,EUREKA,67045,Greenwood,For profit - Corporation,76,49,Medicare and Medicaid,False,Yes,"1020 N SCHOOL STREET
EUREKA, KS 67045
(37.829689, -96.291373)",09/01/2016,37.829689,-96.291373,3.38863,84
175290,WINDSOR PLACE LLC,COFFEYVILLE,67337,Montgomery,For profit - Corporation,147,128,Medicare and Medicaid,False,Yes,"2921 W 1ST ST
COFFEYVILLE, KS 67337
(37.043617, -95.660076)",09/01/2016,37.043617,-95.660076,3.96248,85
175292,MEDICALODGES DOUGLASS,DOUGLASS,67039,Butler,For profit - Corporation,42,32,Medicare and Medicaid,False,Yes,"619 S HIGHWAY
DOUGLASS, KS 67039
(37.514379, -97.005926)",09/01/2016,37.514379,-97.005926,4.47155,86
175294,MEDICALODGES GODDARD,GODDARD,67052,Sedgwick,For profit - Corporation,60,55,Medicare and Medicaid,False,Yes,"501 EASY ST
GODDARD, KS 67052
(37.661175, -97.582207)",09/01/2016,37.661175,-97.582207,3.92542,87
365246,VAN WERT MANOR,VAN WERT,45891,Van Wert,For profit - Corporation,75,57,Medicare and Medicaid,False,Yes,"160 FOX RD
VAN WERT, OH 45891
(40.851675, -84.586163)",09/01/2016,40.851675,-84.586163,4.26533,88
175317,GOLDEN LIVINGCENTER - NEODESHA,NEODESHA,66757,Wilson,For profit - Corporation,45,43,Medicare and Medicaid,False,Yes,"1626 N 8TH STREET
NEODESHA, KS 66757
(37.433339, -95.683718)",09/01/2016,37.433339,-95.683718,2.37995,89
175323,VILLAGE VILLA,NORTONVILLE,66060,Jefferson,For profit - Corporation,42,33,Medicare and Medicaid,False,Yes,"346 NORTONVILLE
KS 66060
(39.414457, -95.33406)",09/01/2016,39.414457,-95.33406,5.0338,90
175322,GOOD SAMARITAN SOCIETY - HAYS,HAYS,67601,Ellis,Non profit - Corporation,70,69,Medicare and Medicaid,False,Yes,"2700 CANAL BLVD
HAYS, KS 67601
(38.885996, -99.333942)",09/01/2016,38.885996,-99.333942,3.69123,91
175334,GOOD SAMARITAN SOCIETY - LIBERAL,LIBERAL,67901,Seward,Non profit - Church related,59,52,Medicare and Medicaid,False,Yes,"2160 ZINNIA LN
LIBERAL, KS 67901
(37.063711, -100.924665)",09/01/2016,37.063711,-100.924665,3.80121,92
175333,HICKORY POINTE CARE & REHAB CENTER,OSKALOOSA,66066,Jefferson,For profit - Corporation,60,43,Medicare and Medicaid,False,Yes,"700 CHEROKEE
OSKALOOSA, KS 66066
(39.213966, -95.311665)",09/01/2016,39.213966,-95.311665,3.59696,93
175332,OTTAWA RETIREMENT VILLAGE,OTTAWA,66067,Franklin,Non profit - Corporation,105,69,Medicare and Medicaid,False,Yes,"1100 W 15TH ST
OTTAWA, KS 66067
(38.593851, -95.282323)",09/01/2016,38.593851,-95.282323,3.50218,94
175369,LOCUST GROVE VILLAGE,LA CROSSE,67548,Rush,Non profit - Corporation,50,44,Medicare and Medicaid,False,Yes,"701 W 6TH ST
LA CROSSE, KS 67548
(38.528744, -99.315921)",09/01/2016,38.528744,-99.315921,3.35253,95
175377,TRINITY MANOR,DODGE CITY,67801,Ford,For profit - Corporation,62,55,Medicare and Medicaid,False,Yes,"510 W FRONTVIEW ST
DODGE CITY, KS 67801
(37.780347, -100.024615)",09/01/2016,37.780347,-100.024615,5.92682,96
175366,GOOD SAMARITAN SOCIETY - ATWOOD,ATWOOD,67730,Rawlins,Non profit - Corporation,40,29,Medicare and Medicaid,False,Yes,"650 LAKE ROAD
ATWOOD, KS 67730
(39.814043, -101.040284)",09/01/2016,39.814043,-101.040284,3.91787,97
175363,MEDICALODGES FRONTENAC,FRONTENAC,66763,Crawford,For profit - Corporation,120,68,Medicare and Medicaid,False,Yes,"206 S DITTMAN ST
FRONTENAC, KS 66763
(37.450385, -94.697799)",09/01/2016,37.450385,-94.697799,4.06079,98
175379,MENNONITE FRIENDSHIP COMMUNITIES INC,SOUTH HUTCHINSON,67505,Reno,Non profit - Corporation,154,105,Medicare and Medicaid,False,Yes,"600 W BLANCHARD AVE
SOUTH HUTCHINSON, KS 67505
(38.027932, -97.953043)",09/01/2016,38.027932,-97.953043,5.71378,99
